 [1] New block (val: 0)
 [_] d_04 CL (val: 5) (distances [5-6])
 [_] d_05 CL (val: 5) (distances [7-8])
 [_] d_06 CL (val: 5) (distances [9-12])
 [6] d_07 CL (val: 3) (distances [13-16])
 [4] LREP (5 times)
 [_] d_08 CL (val: 3) (distances [17-24])
 [_] d_09 CL (val: 3) (distances [25-32])
 [_] d_10 CL (val: 3) (distances [33-48])
 [_] d_11 CL (val: 3) (distances [49-64])
 [_] d_12 CL (val: 3) (distances [65-96])
 [2] d_13 CL (val: 5) (distances [97-128])
 [2] d_14 CL (val: 5) (distances [129-192])
 [9] 7F
 [8] 45  E
 [8] 4C  L
 [8] 46  F
 [9] 02
 [9] 01
 [9] 01
 [5] 00
[13] (8,1)
 [9] 02
 [5] 00
 [8] 3E  >
 [5] 00
[12] (5,14)
 [9] 08
 [5] 75  u
[13] (6,17)
 [9] 05
 [5] 00
[16] (19,1)
 [9] 38  8
 [5] 00
 [9] 04
[14] (7,10)
 [6] 2F  /
 [5] 6C  l
 [5] 69  i
 [9] 62  b
 [9] 36  6
 [6] 34  4
 [6] 2F  /
 [5] 6C  l
 [5] 64  d
 [6] 2D  -
 [5] 6C  l
 [5] 69  i
 [5] 6E  n
 [5] 75  u
 [9] 78  x
 [6] 2D  -
 [9] 78  x
 [9] 38  8
 [9] 36  6
 [6] 2D  -
 [9] 36  6
 [6] 34  4
 [6] 2E  .
 [6] 73  s
 [5] 6F  o
 [6] 2E  .
 [6] 32  2
 [5] 00
 [5] 64  d
 [5] 6C  l
 [5] 6F  o
 [6] 70  p
 [5] 65  e
 [5] 6E  n
 [5] 00
[12] (3,34)
 [5] 64  d
 [5] 6C  l
[13] (8,18)
 [6] 73  s
 [9] 79  y
 [6] 6D  m
[11] (4,17)
 [8] 53  S
 [8] 44  D
 [8] 4C  L
 [6] 32  2
[11] (3,19)
 [5] 00
[11] (3,8)
 [7] 5F  _
 [8] 47  G
 [8] 4C  L
 [7] 5F  _
 [8] 53  S
 [9] 77  w
 [5] 61  a
 [6] 70  p
 [8] 57  W
 [5] 69  i
 [5] 6E  n
 [5] 64  d
 [5] 6F  o
 [9] 77  w
[13] (5,18)
 [8] 50  P
 [5] 6F  o
 [5] 6C  l
 [5] 6C  l
 [8] 45  E
 [6] 76  v
 [5] 65  e
 [5] 6E  n
 [5] 74  t
[12] (5,14)
 [8] 51  Q
 [5] 75  u
 [5] 69  i
[14] (6,9)
 [8] 49  I
 [5] 6E  n
[14] (7,9)
 [8] 43  C
 [4] 72  r
 [5] 65  e
 [5] 61  a
 [5] 74  t
 [5] 65  e
[17] (11,49)
 [8] 47  G
[13] (8,20)
 [8] 43  C
 [5] 6F  o
 [5] 6E  n
 [5] 74  t
 [5] 65  e
 [9] 78  x
[14] (6,38)
 [8] 4F  O
 [6] 70  p
 [5] 65  e
 [5] 6E  n
 [8] 41  A
 [5] 75  u
 [5] 64  d
 [5] 69  i
 [5] 6F  o
[15] (6,84)
 [5] 61  a
 [5] 75  u
 [6] 73  s
 [5] 65  e
[12] (6,15)
[16] (4,129)
 [8] 47  G
 [8] 4C  L
[15] (4,127)
 [6] 67  g
 [5] 6C  l
[14] (6,55)
 [8] 50  P
 [4] 72  r
 [5] 6F  o
 [6] 67  g
 [4] 72  r
 [5] 61  a
 [6] 6D  m
[12] (9,16)
 [8] 53  S
 [7] 68  h
 [5] 61  a
 [5] 64  d
 [5] 65  e
 [4] 72  r
[10] (3,15)
[14] (6,9)
 [8] 53  S
 [5] 6F  o
 [5] 75  u
 [4] 72  r
 [6] 63  c
 [5] 65  e
[11] (4,30)
 [5] 6F  o
 [6] 6D  m
 [6] 70  p
 [5] 69  i
 [5] 6C  l
[13] (10,31)
 [8] 41  A
 [5] 74  t
 [5] 74  t
 [5] 61  a
 [6] 63  c
 [7] 68  h
[12] (9,15)
 [8] 4C  L
 [5] 69  i
 [5] 6E  n
 [9] 6B  k
[15] (10,75)
 [8] 55  U
 [6] 73  s
 [5] 65  e
[12] (10,13)
 [8] 47  G
 [5] 65  e
 [5] 74  t
 [8] 55  U
 [5] 6E  n
 [5] 69  i
 [7] 66  f
 [5] 6F  o
 [4] 72  r
 [6] 6D  m
 [8] 4C  L
 [5] 6F  o
 [6] 63  c
 [5] 61  a
 [5] 74  t
 [5] 69  i
 [5] 6F  o
 [5] 6E  n
[12] (4,34)
[13] (6,18)
 [6] 34  4
 [7] 66  f
 [6] 76  v
[13] (4,92)
 [5] 6C  l
 [5] 65  e
 [5] 61  a
[13] (4,69)
 [8] 52  R
 [5] 65  e
 [6] 63  c
 [5] 74  t
 [6] 73  s
 [5] 00
[16] (19,1)
 [9] 23  #
 [6] 76  v
 [5] 65  e
 [4] 72  r
 [6] 73  s
[12] (3,57)
 [9] 20   
 [6] 31  1
 [6] 32  2
 [6] 30  0
 [9] 0A
 [5] 75  u
[14] (6,59)
 [9] 20   
 [6] 76  v
 [5] 65  e
 [6] 63  c
 [6] 34  4
 [9] 20   
 [5] 75  u
 [8] 3B  ;
 [6] 76  v
 [5] 6F  o
 [5] 69  i
 [5] 64  d
 [9] 20   
 [6] 6D  m
 [5] 61  a
 [5] 69  i
 [5] 6E  n
 [6] 28  (
 [6] 29  )
 [9] 7B  {
[11] (3,19)
 [6] 32  2
 [9] 20   
 [4] 72  r
 [8] 3D  =
 [6] 31  1
 [6] 2D  -
 [6] 67  g
 [5] 6C  l
 [7] 5F  _
 [8] 46  F
 [4] 72  r
 [5] 61  a
 [6] 67  g
 [8] 43  C
 [5] 6F  o
 [5] 6F  o
 [4] 72  r
 [5] 64  d
 [6] 2E  .
 [4] 72  r
 [6] 67  g
 [6] 2F  /
 [5] 75  u
 [6] 2E  .
 [5] 74  t
 [6] 70  p
 [6] 2A  *
 [6] 32  2
 [8] 3B  ;
 [4] 72  r
 [6] 2E  .
 [4] 72  r
 [6] 2A  *
 [8] 3D  =
 [5] 75  u
 [6] 2E  .
[10] (4,16)
 [6] 70  p
 [8] 3B  ;
 [5] 69  i
 [5] 6E  n
 [5] 74  t
 [9] 20   
 [5] 61  a
 [8] 3D  =
[13] (3,82)
 [8] 3B  ;
 [9] 77  w
 [7] 68  h
 [5] 69  i
 [5] 6C  l
 [5] 65  e
 [6] 28  (
 [5] 61  a
 [6] 2D  -
 [6] 2D  -
 [8] 3E  >
 [6] 30  0
 [9] 26  &
 [9] 26  &
 [5] 64  d
 [5] 6F  o
 [5] 74  t
 [6] 28  (
 [4] 72  r
 [6] 2C  ,
 [4] 72  r
 [6] 29  )
 [8] 3C  <
[11] (3,26)
 [6] 29  )
 [4] 72  r
 [8] 3D  =
[13] (4,83)
 [6] 28  (
 [6] 28  (
[12] (4,57)
[10] (3,4)
 [6] 2D  -
 [4] 72  r
 [6] 2E  .
 [5] 74  t
[11] (3,8)
 [5] 74  t
 [6] 29  )
 [6] 2B  +
 [6] 2E  .
 [6] 34  4
 [6] 2B  +
 [6] 73  s
[15] (3,115)
 [5] 75  u
 [6] 2E  .
 [4] 72  r
 [6] 29  )
 [6] 2F  /
 [6] 33  3
 [6] 2C  ,
 [6] 28  (
 [6] 32  2
[11] (4,30)
[13] (7,26)
 [6] 33  3
[13] (9,27)
 [6] 2F  /
 [6] 34  4
 [6] 29  )
[10] (3,3)
 [8] 3B  ;
[18] (9,141)
 [5] 6C  l
 [5] 6F  o
[15] (5,80)
 [6] 34  4
 [6] 28  (
 [5] 61  a
 [6] 2F  /
[13] (3,93)
 [6] 2E  .
 [6] 29  )
 [8] 3B  ;
 [9] EofB
 [1] Last block (val: 1)
 [2] Dynamic Huffman Tree block (val: 2)
 [5] HLIT  286 (val:29)
 [5] HDIST  22 (val:21)
 [4] HCLEN  14 (val:10)
 [3] 16 CLL (val: 1)
 [3] 17 CLL (val: 0)
 [3] 18 CLL (val: 0)
 [3]  0 CLL (val: 4)
 [3]  8 CLL (val: 4)
 [3]  7 CLL (val: 4)
 [3]  9 CLL (val: 3)
 [3]  6 CLL (val: 4)
 [3] 10 CLL (val: 0)
 [3]  5 CLL (val: 4)
 [3] 11 CLL (val: 0)
 [3]  4 CLL (val: 5)
 [3] 12 CLL (val: 0)
 [3]  3 CLL (val: 5)
 [_] 13 CLL (val: 0)
 [_]  2 CLL (val: 0)
 [_] 14 CLL (val: 0)
 [_]  1 CLL (val: 0)
 [_] 15 CLL (val: 0)
 [5] 0x00 CL (val: 4)
 [4] 0x01 CL (val: 6)
 [4] 0x02 CL (val: 5)
 [4] 0x03 CL (val: 6)
 [4] 0x04 CL (val: 6)
 [4] 0x05 CL (val: 7)
 [3] LREP (3 times)
 [_] 0x06 CL (val: 7)
 [_] 0x07 CL (val: 7)
 [_] 0x08 CL (val: 7)
 [3] 0x09 CL (val: 9)
 [3] LREP (6 times)
 [_] 0x0A CL (val: 9)
 [_] 0x0B CL (val: 9)
 [_] 0x0C CL (val: 9)
 [_] 0x0D CL (val: 9)
 [_] 0x0E CL (val: 9)
 [_] 0x0F CL (val: 9)
 [3] LREP (6 times)
 [_] 0x10 CL (val: 9)
 [_] 0x11 CL (val: 9)
 [_] 0x12 CL (val: 9)
 [_] 0x13 CL (val: 9)
 [_] 0x14 CL (val: 9)
 [_] 0x15 CL (val: 9)
 [3] LREP (6 times)
 [_] 0x16 CL (val: 9)
 [_] 0x17 CL (val: 9)
 [_] 0x18 CL (val: 9)
 [_] 0x19 CL (val: 9)
 [_] 0x1A CL (val: 9)
 [_] 0x1B CL (val: 9)
 [3] LREP (6 times)
 [_] 0x1C CL (val: 9)
 [_] 0x1D CL (val: 9)
 [_] 0x1E CL (val: 9)
 [_] 0x1F CL (val: 9)
 [_] 0x20 CL (val: 9)
 [_] 0x21 CL (val: 9)
 [3] LREP (6 times)
 [_] 0x22 CL (val: 9)
 [_] 0x23 CL (val: 9)
 [_] 0x24 CL (val: 9)
 [_] 0x25 CL (val: 9)
 [_] 0x26 CL (val: 9)
 [_] 0x27 CL (val: 9)
 [3] LREP (6 times)
 [_] 0x28 CL (val: 9)
 [_] 0x29 CL (val: 9)
 [_] 0x2A CL (val: 9)
 [_] 0x2B CL (val: 9)
 [_] 0x2C CL (val: 9)
 [_] 0x2D CL (val: 9)
 [3] LREP (4 times)
 [_] 0x2E CL (val: 9)
 [_] 0x2F CL (val: 9)
 [_] 0x30 CL (val: 9)
 [_] 0x31 CL (val: 9)
 [4] 0x32 CL (val: 0)
 [3] LREP (6 times)
 [_] 0x33 CL (val: 0)
 [_] 0x34 CL (val: 0)
 [_] 0x35 CL (val: 0)
 [_] 0x36 CL (val: 0)
 [_] 0x37 CL (val: 0)
 [_] 0x38 CL (val: 0)
 [3] 0x39 CL (val: 9)
 [3] LREP (6 times)
 [_] 0x3A CL (val: 9)
 [_] 0x3B CL (val: 9)
 [_] 0x3C CL (val: 9)
 [_] 0x3D CL (val: 9)
 [_] 0x3E CL (val: 9)
 [_] 0x3F CL (val: 9)
 [3] LREP (5 times)
 [_] 0x40 CL (val: 9)
 [_] 0x41 CL (val: 9)
 [_] 0x42 CL (val: 9)
 [_] 0x43 CL (val: 9)
 [_] 0x44 CL (val: 9)
 [4] 0x45 CL (val: 8)
 [3] LREP (6 times)
 [_] 0x46 CL (val: 8)
 [_] 0x47 CL (val: 8)
 [_] 0x48 CL (val: 8)
 [_] 0x49 CL (val: 8)
 [_] 0x4A CL (val: 8)
 [_] 0x4B CL (val: 8)
 [3] LREP (6 times)
 [_] 0x4C CL (val: 8)
 [_] 0x4D CL (val: 8)
 [_] 0x4E CL (val: 8)
 [_] 0x4F CL (val: 8)
 [_] 0x50 CL (val: 8)
 [_] 0x51 CL (val: 8)
 [3] LREP (6 times)
 [_] 0x52 CL (val: 8)
 [_] 0x53 CL (val: 8)
 [_] 0x54 CL (val: 8)
 [_] 0x55 CL (val: 8)
 [_] 0x56 CL (val: 8)
 [_] 0x57 CL (val: 8)
 [3] LREP (6 times)
 [_] 0x58 CL (val: 8)
 [_] 0x59 CL (val: 8)
 [_] 0x5A CL (val: 8)
 [_] 0x5B CL (val: 8)
 [_] 0x5C CL (val: 8)
 [_] 0x5D CL (val: 8)
 [4] 0x5E CL (val: 8)
 [4] 0x5F CL (val: 8)
 [4] 0x60 CL (val: 0)
 [3] LREP (3 times)
 [_] 0x61 CL (val: 0)
 [_] 0x62 CL (val: 0)
 [_] 0x63 CL (val: 0)
 [3] 0x64 CL (val: 9)
 [3] LREP (5 times)
 [_] 0x65 CL (val: 9)
 [_] 0x66 CL (val: 9)
 [_] 0x67 CL (val: 9)
 [_] 0x68 CL (val: 9)
 [_] 0x69 CL (val: 9)
 [4] 0x6A CL (val: 6)
 [4] 0x6B CL (val: 0)
 [3] LREP (6 times)
 [_] 0x6C CL (val: 0)
 [_] 0x6D CL (val: 0)
 [_] 0x6E CL (val: 0)
 [_] 0x6F CL (val: 0)
 [_] 0x70 CL (val: 0)
 [_] 0x71 CL (val: 0)
 [4] 0x72 CL (val: 0)
 [3] 0x73 CL (val: 9)
 [4] 0x74 CL (val: 7)
 [4] 0x75 CL (val: 5)
 [3] 0x76 CL (val: 9)
 [3] LREP (6 times)
 [_] 0x77 CL (val: 9)
 [_] 0x78 CL (val: 9)
 [_] 0x79 CL (val: 9)
 [_] 0x7A CL (val: 9)
 [_] 0x7B CL (val: 9)
 [_] 0x7C CL (val: 9)
 [3] LREP (6 times)
 [_] 0x7D CL (val: 9)
 [_] 0x7E CL (val: 9)
 [_] 0x7F CL (val: 9)
 [_] 0x80 CL (val: 9)
 [_] 0x81 CL (val: 9)
 [_] 0x82 CL (val: 9)
 [3] LREP (6 times)
 [_] 0x83 CL (val: 9)
 [_] 0x84 CL (val: 9)
 [_] 0x85 CL (val: 9)
 [_] 0x86 CL (val: 9)
 [_] 0x87 CL (val: 9)
 [_] 0x88 CL (val: 9)
 [4] 0x89 CL (val: 6)
 [4] 0x8A CL (val: 7)
 [3] LREP (3 times)
 [_] 0x8B CL (val: 7)
 [_] 0x8C CL (val: 7)
 [_] 0x8D CL (val: 7)
 [4] 0x8E CL (val: 0)
 [3] 0x8F CL (val: 9)
 [4] 0x90 CL (val: 0)
 [3] LREP (6 times)
 [_] 0x91 CL (val: 0)
 [_] 0x92 CL (val: 0)
 [_] 0x93 CL (val: 0)
 [_] 0x94 CL (val: 0)
 [_] 0x95 CL (val: 0)
 [_] 0x96 CL (val: 0)
 [3] LREP (5 times)
 [_] 0x97 CL (val: 0)
 [_] 0x98 CL (val: 0)
 [_] 0x99 CL (val: 0)
 [_] 0x9A CL (val: 0)
 [_] 0x9B CL (val: 0)
 [3] 0x9C CL (val: 9)
 [4] 0x9D CL (val: 0)
 [3] LREP (6 times)
 [_] 0x9E CL (val: 0)
 [_] 0x9F CL (val: 0)
 [_] 0xA0 CL (val: 0)
 [_] 0xA1 CL (val: 0)
 [_] 0xA2 CL (val: 0)
 [_] 0xA3 CL (val: 0)
 [3] 0xA4 CL (val: 9)
 [3] LREP (6 times)
 [_] 0xA5 CL (val: 9)
 [_] 0xA6 CL (val: 9)
 [_] 0xA7 CL (val: 9)
 [_] 0xA8 CL (val: 9)
 [_] 0xA9 CL (val: 9)
 [_] 0xAA CL (val: 9)
 [3] LREP (6 times)
 [_] 0xAB CL (val: 9)
 [_] 0xAC CL (val: 9)
 [_] 0xAD CL (val: 9)
 [_] 0xAE CL (val: 9)
 [_] 0xAF CL (val: 9)
 [_] 0xB0 CL (val: 9)
 [3] LREP (6 times)
 [_] 0xB1 CL (val: 9)
 [_] 0xB2 CL (val: 9)
 [_] 0xB3 CL (val: 9)
 [_] 0xB4 CL (val: 9)
 [_] 0xB5 CL (val: 9)
 [_] 0xB6 CL (val: 9)
 [3] LREP (6 times)
 [_] 0xB7 CL (val: 9)
 [_] 0xB8 CL (val: 9)
 [_] 0xB9 CL (val: 9)
 [_] 0xBA CL (val: 9)
 [_] 0xBB CL (val: 9)
 [_] 0xBC CL (val: 9)
 [3] LREP (3 times)
 [_] 0xBD CL (val: 9)
 [_] 0xBE CL (val: 9)
 [_] 0xBF CL (val: 9)
 [4] 0xC0 CL (val: 6)
 [4] 0xC1 CL (val: 7)
 [3] 0xC2 CL (val: 9)
 [3] LREP (6 times)
 [_] 0xC3 CL (val: 9)
 [_] 0xC4 CL (val: 9)
 [_] 0xC5 CL (val: 9)
 [_] 0xC6 CL (val: 9)
 [_] 0xC7 CL (val: 9)
 [_] 0xC8 CL (val: 9)
 [3] LREP (6 times)
