a=8.175798 b=8.175774 diff=-0.000025 
a=207.652344 b=207.652252 diff=-0.000092 
a=220.000000 b=219.999908 diff=-0.000092 
a=233.081863 b=233.081802 diff=-0.000061 
a=246.941650 b=246.941574 diff=-0.000076 
a=261.625549 b=261.625488 diff=-0.000061 
a=277.182648 b=277.182556 diff=-0.000092 
a=293.664764 b=293.664703 diff=-0.000061 
a=311.126984 b=311.126923 diff=-0.000061 
a=329.627533 b=329.627502 diff=-0.000031 
a=349.228241 b=349.228180 diff=-0.000061 
a=369.994415 b=369.994385 diff=-0.000031 
a=391.995422 b=391.995422 diff=0.000000 
a=415.304688 b=415.304688 diff=0.000000 
a=440.000000 b=440.000000 diff=0.000000 
a=466.163788 b=466.163788 diff=0.000000 
a=493.883301 b=493.883362 diff=0.000061 
a=523.251099 b=523.251221 diff=0.000122 
a=554.365295 b=554.365356 diff=0.000061 
a=587.329529 b=587.329651 diff=0.000122 
a=622.253967 b=622.254150 diff=0.000183 
a=659.255066 b=659.255310 diff=0.000244 
a=698.456482 b=698.456726 diff=0.000244 
a=739.988831 b=739.989136 diff=0.000305 
a=783.990845 b=783.991211 diff=0.000366 
a=830.609375 b=830.609802 diff=0.000427 
a=880.000000 b=880.000488 diff=0.000488 
a=932.327576 b=932.328064 diff=0.000488 
a=987.766602 b=987.767212 diff=0.000610 
a=1046.502197 b=1046.502930 diff=0.000732 
a=1108.730591 b=1108.731323 diff=0.000732 
a=1174.659058 b=1174.659912 diff=0.000854 
a=1244.507935 b=1244.508911 diff=0.000977 
a=1318.510254 b=1318.511353 diff=0.001099 
a=1396.912964 b=1396.914185 diff=0.001221 
a=1479.977661 b=1479.979126 diff=0.001465 
a=1567.981812 b=1567.983276 diff=0.001465 
a=1661.218750 b=1661.220459 diff=0.001709 
a=1760.000000 b=1760.001831 diff=0.001831 
a=1864.654907 b=1864.657104 diff=0.002197 
a=1975.533447 b=1975.535522 diff=0.002075 
a=2093.004395 b=2093.007080 diff=0.002686 
a=2217.460938 b=2217.463867 diff=0.002930 
a=2349.318359 b=2349.321289 diff=0.002930 
a=2489.015869 b=2489.019287 diff=0.003418 
a=2637.020264 b=2637.024170 diff=0.003906 
a=2793.825928 b=2793.829834 diff=0.003906 
a=2959.955322 b=2959.959717 diff=0.004395 
a=3135.963379 b=3135.968262 diff=0.004883 
a=3322.437744 b=3322.442871 diff=0.005127 
a=3520.000000 b=3520.005859 diff=0.005859 
a=3729.309814 b=3729.316406 diff=0.006592 
a=3951.066895 b=3951.073242 diff=0.006348 
a=4186.008789 b=4186.016602 diff=0.007812 
a=4434.921875 b=4434.930176 diff=0.008301 
a=4698.636719 b=4698.645020 diff=0.008301 
a=4978.031738 b=4978.041016 diff=0.009277 
a=5274.040527 b=5274.050781 diff=0.010254 
a=5587.651855 b=5587.662598 diff=0.010742 
a=5919.910645 b=5919.922363 diff=0.011719 
a=6271.926758 b=6271.939453 diff=0.012695 
a=6644.875488 b=6644.888672 diff=0.013184 
a=7040.000000 b=7040.014648 diff=0.014648 
a=7458.621582 b=7458.636230 diff=0.014648 
a=7902.131836 b=7902.150391 diff=0.018555 
a=8372.017578 b=8372.037109 diff=0.019531 
a=8869.844727 b=8869.865234 diff=0.020508 
a=9397.271484 b=9397.294922 diff=0.023438 
a=9956.063477 b=9956.087891 diff=0.024414 
a=10548.083008 b=10548.108398 diff=0.025391 
a=11175.302734 b=11175.332031 diff=0.029297 
a=11839.821289 b=11839.852539 diff=0.031250 
a=12543.855469 b=12543.887695 diff=0.032227 
